"section","claim_id","manuscript_value","source_csv","filters","source_columns","verification_status","notes"
"5","heatmap_r0_COL_PEN_mid","0.06","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.059840611829065."
"5","heatmap_r0_COL_GMI_GMI_ideal_aggregate_mid","-0.05","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.045557782985473."
"5","heatmap_r0_COL_GMI_GMI_loaded_aggregate_mid","-0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0303718553236487."
"5","heatmap_r0_COL_MUT_mid","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=MUT AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0237371951087018."
"5","heatmap_r0_COL_PBI_mid","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0190932876417367."
"5","heatmap_r0_COL_UBI_mid","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=UBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0082461584314325."
"5","heatmap_r0_COL_PEN_high","0.05","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0483860544148742."
"5","heatmap_r0_COL_GMI_GMI_ideal_aggregate_high","-0.05","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0490281512240388."
"5","heatmap_r0_COL_GMI_GMI_loaded_aggregate_high","-0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0326854341493592."
"5","heatmap_r0_COL_MUT_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=MUT AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0215536394129962."
"5","heatmap_r0_COL_PBI_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0176990316720991."
"5","heatmap_r0_COL_UBI_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=UBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0077002695075061."
"5","heatmap_r0_COL_PEN_stress","0.65","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.6460758689243442."
"5","heatmap_r0_COL_GMI_GMI_ideal_aggregate_stress","0.13","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.132052939366006."
"5","heatmap_r0_COL_GMI_GMI_loaded_aggregate_stress","0.09","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0880352929106706."
"5","heatmap_r0_COL_MUT_stress","0.14","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=MUT AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.1354898616122524."
"5","heatmap_r0_COL_PBI_stress","0.09","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0904502137334005."
"5","heatmap_r0_COL_UBI_stress","0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=UBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0361843250573202."
"5","heatmap_r0_MEX_PEN_low","-0.08","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PEN AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0833624570251337."
"5","heatmap_r0_MEX_GMI_GMI_ideal_aggregate_low","-0.32","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.3196776473367327."
"5","heatmap_r0_MEX_GMI_GMI_loaded_aggregate_low","-0.21","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.2131184315578218."
"5","heatmap_r0_MEX_MUT_low","-0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=MUT AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0189304474759186."
"5","heatmap_r0_MEX_PBI_low","-0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0077180236196651."
"5","heatmap_r0_MEX_UBI_low","0.00","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=UBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0019573017112317."
"5","heatmap_r0_MEX_PEN_mid","0.07","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0650294871158911."
"5","heatmap_r0_MEX_GMI_GMI_ideal_aggregate_mid","-0.09","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0851234261100203."
"5","heatmap_r0_MEX_GMI_GMI_loaded_aggregate_mid","-0.06","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0567489507400135."
"5","heatmap_r0_MEX_MUT_mid","0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=MUT AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0411154331581197."
"5","heatmap_r0_MEX_PBI_mid","0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0324771874434579."
"5","heatmap_r0_MEX_UBI_mid","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=UBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0130541684472778."
"5","heatmap_r0_MEX_PEN_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PEN AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0153488145821723."
"5","heatmap_r0_MEX_GMI_GMI_ideal_aggregate_high","-0.16","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.1636506771924068."
"5","heatmap_r0_MEX_GMI_GMI_loaded_aggregate_high","-0.11","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.1091004514616045."
"5","heatmap_r0_MEX_MUT_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=MUT AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0210124568810288."
"5","heatmap_r0_MEX_PBI_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0190200882066358."
"5","heatmap_r0_MEX_UBI_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=UBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.008028424378005."
"5","heatmap_r0_MEX_PEN_stress","0.48","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PEN AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.4837620644926618."
"5","heatmap_r0_MEX_GMI_GMI_ideal_aggregate_stress","0.58","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.5767419747201149."
"5","heatmap_r0_MEX_GMI_GMI_loaded_aggregate_stress","0.38","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.38449464981341."
"5","heatmap_r0_MEX_MUT_stress","0.21","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=MUT AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.2105529757706344."
"5","heatmap_r0_MEX_PBI_stress","0.15","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=PBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.1459000853244194."
"5","heatmap_r0_MEX_UBI_stress","0.06","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX AND policy_variant_id=UBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0554135541004064."
"5","heatmap_categorical_boundaries","V<0; 0--0.5; 0.5--1; 1--1.10; V>=1.10","reports/paper_tables/table4_vgross_baseline.csv","regime_id=r0; frozen display bins applied to v_gross","v_gross;crosses_v1","verified","Categorical display boundaries are fixed in scripts/make_headline_figure.py; the black outline marks V>=1."
"5","moderate_grid_crossings","0 of 360 low/mid/high cells cross","reports/paper_tables/table4_vgross_baseline.csv","scenario_id in {low,mid,high}","crosses_v1;cell_result_class","verified","All 360 filtered rows have crosses_v1=False and cell_result_class=not_feasible."
"5","section5_prudential_margin","xi=0.10 (10 percent)","reports/threshold_inversion_result_baseline-official-v2.csv; reports/h_star_result_baseline-official-v3.csv","xi=0.1","xi;threshold_value","verified","The inversion and persistence panels report the 10-percent prudential margin; deterministic structural crossings use V>=1."
"5","moderate_v_max","0.177","reports/paper_tables/table4_vgross_baseline.csv","scenario_id in {low,mid,high}; maximum v_gross","country_id;policy_variant_id;scenario_id;regime_id;v_gross","verified","Raw maximum=0.1765945556483395, PER/PEN/mid/r4."
"5","per_pen_stress_range","1.02--1.42","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=stress AND regime_id in {r0,...,r4}","v_gross;crosses_v1;cell_result_class","verified","Raw min=1.01520411458545; raw max=1.42229073795208; every row is accounting_feasible_debt_failed."
"5","per_pen_stress_buffer","r2 and r4 reach V>=1.10; r0, r1, and r3 do not","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=stress; compare v_gross with 1.10 by regime_id","regime_id;v_gross;crosses_v1;cell_result_class","verified","The 10-percent prudential comparison is reported separately from the structural crosses_v1 flag."
"5","col_best_cell","0.91","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL; maximum v_gross over grid","policy_variant_id;scenario_id;regime_id;v_gross;cell_result_class","verified","Raw=0.90729054746623, PEN/stress/r4, not_feasible."
"5","mex_best_cell","0.80","reports/paper_tables/table4_vgross_baseline.csv","country_id=MEX; maximum v_gross over grid","policy_variant_id;scenario_id;regime_id;v_gross;cell_result_class","verified","Raw=0.804897604063947, GMI ideal/stress/r4, not_feasible."
"5","chl_gmi_stress_r4","GMI ideal 5.80; GMI loaded 3.87","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND scenario_id=stress AND regime_id=r4 AND policy_variant_id in {GMI ideal,GMI loaded}","v_gross;crosses_v1;cell_result_class","verified","Raw ideal=5.799668762204835; raw loaded=3.86644584146989; both feasible_cell."
"5","inversion_mid_r4_CHL_GMI_GMI_ideal_aggregate","g*= 4.75 percent; MFC*= 16.72 percent; Treq=1.09; tauAIreq=202.46 percent","reports/threshold_inversion_result_baseline-official-v2.csv; reports/paper_tables/table5_threshold_inversion.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r4 AND requirement_basis=baseline AND xi=0.1","g_ai_required;mfc_required_gross;t_required_H;tau_ai_required","verified","The compact frozen paper table matches g_ai_required and mfc_required_gross exactly; the full official inversion CSV supplies the two omitted diagnostic columns."
"5","inversion_mid_r4_PER_PEN","g*= 7.53 percent; MFC*= 30.31 percent; Treq=1.71; tauAIreq=671.42 percent","reports/threshold_inversion_result_baseline-official-v2.csv; reports/paper_tables/table5_threshold_inversion.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r4 AND requirement_basis=baseline AND xi=0.1","g_ai_required;mfc_required_gross;t_required_H;tau_ai_required","verified","The compact frozen paper table matches g_ai_required and mfc_required_gross exactly; the full official inversion CSV supplies the two omitted diagnostic columns."
"5","inversion_mid_r4_COL_PEN","g*= 10.62 percent; MFC*= 45.23 percent; Treq=2.39; tauAIreq=1149.88 percent","reports/threshold_inversion_result_baseline-official-v2.csv; reports/paper_tables/table5_threshold_inversion.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r4 AND requirement_basis=baseline AND xi=0.1","g_ai_required;mfc_required_gross;t_required_H;tau_ai_required","verified","The compact frozen paper table matches g_ai_required and mfc_required_gross exactly; the full official inversion CSV supplies the two omitted diagnostic columns."
"5","inversion_mid_r4_MEX_GMI_GMI_ideal_aggregate","g*= 12.55 percent; MFC*= 52.38 percent; Treq=2.80; tauAIreq=1364.07 percent","reports/threshold_inversion_result_baseline-official-v2.csv; reports/paper_tables/table5_threshold_inversion.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r4 AND requirement_basis=baseline AND xi=0.1","g_ai_required;mfc_required_gross;t_required_H;tau_ai_required","verified","The compact frozen paper table matches g_ai_required and mfc_required_gross exactly; the full official inversion CSV supplies the two omitted diagnostic columns."
"5","inversion_mid_r4_MEX_GMI_GMI_loaded_aggregate","g*= 17.31 percent; MFC*= 72.23 percent; Treq=3.79; tauAIreq=2025.71 percent","reports/threshold_inversion_result_baseline-official-v2.csv; reports/paper_tables/table5_threshold_inversion.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=mid AND regime_id=r4 AND requirement_basis=baseline AND xi=0.1","g_ai_required;mfc_required_gross;t_required_H;tau_ai_required","verified","The compact frozen paper table matches g_ai_required and mfc_required_gross exactly; the full official inversion CSV supplies the two omitted diagnostic columns."
"5","translation_requirement_min_mid","1.0941","reports/threshold_inversion_result_baseline-official-v2.csv","xi=0.1 AND scenario_id=mid; minimum t_required_H across baseline and debt_consistent","t_required_H;country_id;policy_variant_id;regime_id;requirement_basis","verified","Raw=1.0940749670462937, CHL/GMI ideal/r4; every filtered row exceeds one."
"5","ai_rent_requirement_min_mid","202.46 percent","reports/threshold_inversion_result_baseline-official-v2.csv","xi=0.1 AND scenario_id=mid AND requirement_basis=baseline AND tau_ai_required nonmissing; minimum","tau_ai_required;country_id;policy_variant_id;regime_id","verified","Raw rate=2.0246157316106883, CHL/GMI ideal/r4."
"5","ai_rent_specified_upper","15 percent","reports/value_assignment_table_baseline-official-v3.csv","name=tau_AI_eff_r4","high_value;baseline_value;low_value;regime_code","verified","Raw high_value=0.15."
"5","ai_rent_requirement_ratio","13.50 times the specified upper support","reports/threshold_inversion_result_baseline-official-v2.csv; reports/value_assignment_table_baseline-official-v3.csv","minimum mid baseline tau_ai_required divided by high_value where name=tau_AI_eff_r4","tau_ai_required;high_value","verified","Raw ratio=13.4974382107379."
"5","mc_primary_moderate_max","2.36 percent","reports/monte_carlo_result_baseline-official-v3.csv","mc_mode=MC_independent_baseline AND prob_basis=all_draw AND scenario_id in {low,mid,high}; maximum prob_v_ge_1_00","country_id;policy_variant_id;scenario_id;regime_id;prob_v_ge_1_00;prob_debt_consistent_1_00","verified","CHL/GMI ideal/mid/r4; the debt probability is identical because Chile has no positive primary-balance correction."
"5","mc_factor_moderate_max","4.44 percent","reports/monte_carlo_result_baseline-official-v3.csv","mc_mode like MC_factor* AND prob_basis=all_draw AND scenario_id in {low,mid,high}; maximum prob_v_ge_1_00","country_id;policy_variant_id;scenario_id;regime_id;mc_mode;prob_v_ge_1_00","verified","CHL/GMI ideal/mid/r4 under MC_factor_rho07."
"5","mc_historical_chl_gmi_mid","GMI ideal 66.06--91.76 percent; loaded 55.78--85.10 percent","reports/monte_carlo_result_baseline-official-v3.csv","country_id=CHL AND scenario_id=mid AND regime_id=r0 AND mc_mode like historical_reduced_form* AND prob_basis=all_draw; split by GMI variant","policy_variant_id;mc_mode;prob_v_ge_1_00","verified","Ranges span mixture/positive and tax/total-revenue historical capture modes."
"5","mc_chl_gmi_stress","94.78--99.98 percent","reports/monte_carlo_result_baseline-official-v3.csv","country_id=CHL AND policy_variant_id like GMI* AND scenario_id=stress AND regime_id in {r0,...,r4} AND mc_mode=MC_independent_baseline AND prob_basis=all_draw","prob_v_ge_1_00;prob_debt_consistent_1_00","verified","Range combines ideal and loaded GMI variants; accounting and debt-consistent frequencies coincide."
"5","mc_per_pen_stress","accounting 41.02--80.50 percent; debt 0.02--2.48 percent","reports/monte_carlo_result_baseline-official-v3.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=stress AND regime_id in {r0,...,r4} AND mc_mode=MC_independent_baseline AND prob_basis=all_draw","regime_id;prob_v_ge_1_00;prob_debt_consistent_1_00","verified","The debt maximum is 0.0248 under r4, not below one percent."
"5","hstar_chl_gmi_ideal","r0=6 years; r4=5 years; debt same","reports/h_star_result_baseline-official-v3.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=stress AND xi=0.1 AND regime_id in {r0,r4}","regime_id;requirement_basis;h_star;h_star_status;h_star_reporting_cap","verified","All cited rows cross within the 25-year cap."
"5","hstar_per_pen","accounting 8--11 years; debt 17--22 years","reports/h_star_result_baseline-official-v3.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=stress AND xi=0.1 AND regime_id in {r0,...,r4}","regime_id;requirement_basis;h_star;h_star_status","verified","All cited rows cross within the cap."
"5","hstar_col_pen","accounting 13--19 years; debt >25 years","reports/h_star_result_baseline-official-v3.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=stress AND xi=0.1 AND regime_id in {r0,...,r4}","regime_id;requirement_basis;h_star;h_star_status;h_star_reporting_cap","verified","Every debt-consistent counterpart is censored_beyond_defensible_horizon at the 25-year cap."
"5","hstar_mex_gmi","ideal accounting 13--16 years; loaded accounting 17--21 years; debt >25 years","reports/h_star_result_baseline-official-v3.csv","country_id=MEX AND policy_variant_id in {GMI ideal,GMI loaded} AND scenario_id=stress AND xi=0.1 AND regime_id in {r0,...,r4}","policy_variant_id;regime_id;requirement_basis;h_star;h_star_status;h_star_reporting_cap","verified","Every debt-consistent counterpart is censored_beyond_defensible_horizon at the 25-year cap."
"5","ict_placebo_result","0 of 120 crossings; maximum V=0.750","reports/diagnostic_placebo_ict_result_baseline-official-v3.csv","scenario_id=placebo_ict_mid; all countries, policies, and regimes","placebo_cell_class;v_placebo;country_id;policy_variant_id","verified","All rows are not_feasible; raw maximum=0.7503864386790156, PER/PEN."
"5","negative_control_result","9 of 15 crossings disappear; 6 survive; multiplier 0.318; diagnostic does not clear the crossing criterion","reports/diagnostic_negative_control_result_baseline-official-v3.csv","full diagnostic grid","baseline_crosses_v1;negative_control_crosses_v1;collapse_ratio","verified","Raw multiplier=0.31818181818181823; the implemented exposure-rescaling formula is V_negative_control=V_baseline*collapse_ratio."
"5","loso_result","3 evaluated substitutions preserve class/rank; 3 unavailable","reports/diagnostic_loso_result_baseline-official-v3.csv","status in {PASS,not_available}","status;baseline_class;alternative_class;rank_change;alternative_source","verified","All three evaluated rows are OECD-to-GRD substitutions with rank_change=0."
"1","intro_country_scope","4 economies: PER, CHL, COL, MEX","reports/paper_tables/table1_anchors.csv","country_id in {PER,CHL,COL,MEX}","country_id;year","verified","Four distinct country_id values; the Introduction names each economy."
"1","intro_accounting_threshold","V>=1","reports/paper_tables/table4_vgross_baseline.csv","all rows; compare crosses_v1 with v_gross>=1","v_gross;crosses_v1","verified","The exported crossing indicator is identical to the structural threshold comparison."
"1","intro_moderate_crossings","0 crossings under low, mid, and high","reports/paper_tables/table4_vgross_baseline.csv","scenario_id in {low,mid,high}","scenario_id;crosses_v1;cell_result_class","verified","Every filtered row has crosses_v1=False and cell_result_class=not_feasible."
"1","intro_moderate_v_max","0.177","reports/paper_tables/table4_vgross_baseline.csv","scenario_id in {low,mid,high}; maximum v_gross","country_id;policy_variant_id;scenario_id;regime_id;v_gross","verified","Raw maximum=0.1765945556483395, PER/PEN/mid/r4."
"1","intro_translation_requirement","Every mid-scenario Treq,H>1; minimum 1.0941","reports/threshold_inversion_result_baseline-official-v2.csv","xi=0.1 AND scenario_id=mid; all requirement_basis","t_required_H;country_id;policy_variant_id;regime_id;requirement_basis","verified","All filtered nonmissing values exceed one; raw minimum=1.0940749670462937, CHL/GMI ideal/r4/baseline."
"1","intro_ai_rent_requirement_ratio","13.50 times the strongest specified upper support","reports/threshold_inversion_result_baseline-official-v2.csv; reports/value_assignment_table_baseline-official-v3.csv","minimum tau_ai_required where xi=0.1 AND scenario_id=mid AND requirement_basis=baseline, divided by high_value where name=tau_AI_eff_r4","tau_ai_required;high_value","verified","Raw minimum requirement=2.0246157316106883; upper support=0.15; ratio=13.4974382107379."
"1","intro_mc_primary_moderate_max","2.36 percent","reports/monte_carlo_result_baseline-official-v3.csv","mc_mode=MC_independent_baseline AND prob_basis=all_draw AND scenario_id in {low,mid,high}; maximum prob_v_ge_1_00","country_id;policy_variant_id;scenario_id;regime_id;prob_v_ge_1_00","verified","Raw maximum=0.0236, CHL/GMI ideal/mid/r4; this is a model-implied calibrated-draw frequency."
"4","scenario_high_below_mid_all_countries","High lies below the 0.425 percent mid input in all 4 economies after the bridge","reports/value_assignment_table_baseline-official-v3.csv; reports/paper_tables/table3_primary_specification.csv","name=phi_Y_nom_high AND country_id in {PER,CHL,COL,MEX}; block=scenario AND id=mid","country_id;scenario_id;baseline_value;unit;phi_y_nominal_min;phi_y_nominal_max","verified","Country-specific high baseline values are PER=0.003801304370164793, CHL=0.003736722528934422, COL=0.004209296584129385, and MEX=0.003062241241335917; each is strictly below mid=0.00425."
"4","r3_median_mfc_below_r0","median MFC^gross lower under r3 than under r0","reports/paper_tables/table3_primary_specification.csv","block=regime AND id in {r0,r3}","id;description","verified","median MFCgross r0=0.0892, r3=0.0872"
